Train_No,Source_Station,Destination_Station,Total_Stops,Total_Distance
40390,TAMBARAM,CHENNAI BEAC,2,29
40391,CHENNAI BEAC,TAMBARAM,18,29
40392,TAMBARAM,CHENNAI BEAC,2,29
40393,CHENNAI BEAC,TAMBARAM,18,29
40394,TAMBARAM,CHENNAI BEAC,2,29
40395,CHENNAI BEAC,TAMBARAM,18,29
40396,TAMBARAM,CHENNAI BEAC,2,29
40397,CHENNAI BEAC,TAMBARAM,18,29
40398,TAMBARAM,CHENNAI BEAC,2,29
40399,CHENNAI BEAC,TAMBARAM,18,29
40400,TAMBARAM,CHENNAI BEAC,2,29
40401,CHENNAI BEAC,TAMBARAM,18,29
40402,TAMBARAM,CHENNAI BEAC,2,29
40403,CHENNAI BEAC,TAMBARAM,18,29
40404,TAMBARAM,CHENNAI BEAC,2,29
40405,CHENNAI BEAC,TAMBARAM,18,29
40406,TAMBARAM,CHENNAI BEAC,2,29
40407,CHENNAI BEAC,TAMBARAM,18,29
40408,TAMBARAM,CHENNAI BEAC,2,29
40409,CHENNAI BEAC,TAMBARAM,18,29
40410,TAMBARAM,CHENNAI BEAC,2,29
40411,CHENNAI BEAC,TAMBARAM,18,29
40412,TAMBARAM,CHENNAI BEAC,2,29
40413,CHENNAI BEAC,TAMBARAM,18,29
40414,TAMBARAM,CHENNAI BEAC,2,29
40415,CHENNAI BEAC,TAMBARAM,18,29
40416,TAMBARAM,CHENNAI BEAC,2,29
40417,CHENNAI BEAC,TAMBARAM,18,29
40418,TAMBARAM,CHENNAI BEAC,6,29
40419,CHENNAI BEAC,TAMBARAM,18,29
40420,TAMBARAM,CHENNAI BEAC,2,29
40421,CHENNAI BEAC,TAMBARAM,18,29
40422,TAMBARAM,CHENNAI BEAC,2,29
40501,CHENNAI BEAC,CHENGALPATTU,2,59
40502,CHENGALPATTU,CHENNAI BEAC,2,59
40503,CHENNAI BEAC,CHENGALPATTU,2,59
40504,CHENGALPATTU,CHENNAI BEAC,6,59
40505,CHENNAI BEAC,CHENGALPATTU,2,59
40506,CHENGALPATTU,CHENNAI BEAC,3,59
40507,CHENNAI BEAC,CHENGALPATTU,2,59
40508,CHENGALPATTU,CHENNAI BEAC,3,59
40509,CHENNAI BEAC,CHENGALPATTU,3,59
40510,CHENGALPATTU,CHENNAI BEAC,2,59
40511,CHENNAI BEAC,CHENGALPATTU,2,59
40512,CHENGALPATTU,CHENNAI BEAC,3,59
40513,CHENNAI BEAC,CHENGALPATTU,2,59
40514,CHENGALPATTU,CHENNAI BEAC,3,59
40515,CHENNAI BEAC,CHENGALPATTU,2,59
40516,CHENGALPATTU,CHENNAI BEAC,2,59
40517,CHENNAI BEAC,CHENGALPATTU,2,59
40518,CHENGALPATTU,CHENNAI BEAC,3,59
40519,CHENNAI BEAC,CHENGALPATTU,3,59
40520,CHENGALPATTU,CHENNAI BEAC,2,59
40522,CHENGALPATTU,CHENNAI BEAC,2,59
40523,CHENNAI BEAC,CHENGALPATTU,2,59
40524,CHENGALPATTU,CHENNAI BEAC,3,59
40525,CHENNAI BEAC,CHENGALPATTU,3,59
40526,CHENGALPATTU,CHENNAI BEAC,3,59
40527,CHENNAI BEAC,CHENGALPATTU,2,59
40528,CHENGALPATTU,CHENNAI BEAC,2,59
40529,CHENNAI BEAC,CHENGALPATTU,3,59
40531,CHENNAI BEAC,CHENGALPATTU,3,59
40532,CHENGALPATTU,CHENNAI BEAC,11,59
40533,CHENNAI BEAC,CHENGALPATTU,3,59
40534,CHENGALPATTU,CHENNAI BEAC,7,59
40535,CHENNAI BEAC,CHENGALPATTU,2,59
40536,CHENGALPATTU,CHENNAI BEAC,2,59
40538,CHENGALPATTU,CHENNAI BEAC,2,59
40539,CHENNAI BEAC,CHENGALPATTU,3,59
40540,CHENGALPATTU,CHENNAI BEAC,2,59
40541,CHENNAI BEAC,CHENGALPATTU,2,59
40542,CHENGALPATTU,CHENNAI BEAC,2,59
40543,CHENNAI BEAC,CHENGALPATTU,3,59
40544,CHENGALPATTU,CHENNAI BEAC,2,59
40545,CHENNAI BEAC,CHENGALPATTU,3,59
40547,CHENNAI BEAC,CHENGALPATTU,3,59
40548,CHENGALPATTU,CHENNAI BEAC,2,59
40549,CHENNAI BEAC,CHENGALPATTU,3,59
40550,CHENGALPATTU,CHENNAI BEAC,3,59
40551,CHENNAI BEAC,CHENGALPATTU,11,59
40552,CHENGALPATTU,CHENNAI BEAC,2,59
40553,CHENNAI BEAC,CHENGALPATTU,7,59
40554,CHENGALPATTU,CHENNAI BEAC,2,59
40555,CHENNAI BEAC,CHENGALPATTU,3,59
40556,CHENGALPATTU,CHENNAI BEAC,3,59
40557,CHENNAI BEAC,CHENGALPATTU,2,59
40558,CHENGALPATTU,CHENNAI BEAC,9,59
40559,CHENNAI BEAC,CHENGALPATTU,3,59
40560,CHENGALPATTU,CHENNAI BEAC,11,59
40561,CHENNAI BEAC,CHENGALPATTU,3,59
40562,CHENGALPATTU,CHENNAI BEAC,3,59
40563,CHENNAI BEAC,CHENGALPATTU,2,59
40564,CHENGALPATTU,CHENNAI BEAC,2,59
40565,CHENNAI BEAC,CHENGALPATTU,3,59
40566,CHENGALPATTU,CHENNAI BEAC,2,59
40567,CHENNAI BEAC,CHENGALPATTU,3,59
40568,CHENGALPATTU,CHENNAI BEAC,10,59
40569,CHENNAI BEAC,CHENGALPATTU,7,59
40570,CHENGALPATTU,CHENNAI BEAC,3,59
40571,CHENNAI BEAC,CHENGALPATTU,3,59
40572,CHENGALPATTU,CHENNAI BEAC,2,59
40573,CHENNAI BEAC,CHENGALPATTU,3,59
40574,CHENGALPATTU,CHENNAI BEAC,3,59
40601,CHENNAI BEAC,CHENGALPATTU,11,59
40602,CHENGALPATTU,CHENNAI BEAC,3,59
40603,CHENNAI BEAC,CHENGALPATTU,11,59
40604,CHENGALPATTU,CHENNAI BEAC,11,59
40605,CHENNAI BEAC,CHENGALPATTU,11,59
40606,CHENGALPATTU,CHENNAI BEAC,11,59
40607,CHENNAI BEAC,CHENGALPATTU,2,59
40608,CHENGALPATTU,CHENNAI BEAC,3,59
40609,CHENNAI BEAC,CHENGALPATTU,3,59
40610,CHENGALPATTU,CHENNAI BEAC,11,59
40612,CHENGALPATTU,CHENNAI BEAC,9,59
40613,CHENNAI BEAC,CHENGALPATTU,2,59
40614,CHENGALPATTU,CHENNAI BEAC,2,59
40615,CHENNAI BEAC,CHENGALPATTU,11,59
40616,CHENGALPATTU,CHENNAI BEAC,2,59
40617,CHENNAI BEAC,CHENGALPATTU,2,59
40618,CHENGALPATTU,CHENNAI BEAC,11,59
40619,CHENNAI BEAC,CHENGALPATTU,2,59
40621,CHENNAI BEAC,CHENGALPATTU,2,59
40622,CHENGALPATTU,CHENNAI BEAC,2,59
40623,CHENNAI BEAC,CHENGALPATTU,2,59
40624,CHENGALPATTU,CHENNAI BEAC,2,59
40625,CHENNAI BEAC,CHENGALPATTU,3,59
40626,CHENGALPATTU,CHENNAI BEAC,2,59
40627,CHENNAI BEAC,CHENGALPATTU,2,59
40628,CHENGALPATTU,CHENNAI BEAC,11,59
40629,CHENNAI BEAC,CHENGALPATTU,2,59
40630,CHENGALPATTU,CHENNAI BEAC,11,59
40631,CHENNAI BEAC,CHENGALPATTU,11,59
40632,CHENGALPATTU,CHENNAI BEAC,2,59
40633,CHENNAI BEAC,CHENGALPATTU,2,59
40634,CHENGALPATTU,CHENNAI BEAC,2,59
40635,CHENNAI BEAC,CHENGALPATTU,2,59
40636,CHENGALPATTU,CHENNAI BEAC,4,59
40637,CHENNAI BEAC,CHENGALPATTU,10,59
40638,CHENGALPATTU,CHENNAI BEAC,2,59
40639,CHENNAI BEAC,CHENGALPATTU,2,59
40640,CHENGALPATTU,CHENNAI BEAC,11,59
40641,CHENNAI BEAC,CHENGALPATTU,2,59
40642,CHENGALPATTU,CHENNAI BEAC,2,59
40643,CHENNAI BEAC,CHENGALPATTU,11,59
40644,CHENGALPATTU,CHENNAI BEAC,3,59
40645,CHENNAI BEAC,CHENGALPATTU,11,59
40646,CHENGALPATTU,CHENNAI BEAC,2,59
40647,CHENNAI BEAC,CHENGALPATTU,11,59
40648,CHENGALPATTU,CHENNAI BEAC,2,59
40649,CHENNAI BEAC,CHENGALPATTU,3,59
40650,CHENGALPATTU,CHENNAI BEAC,3,59
40651,CHENNAI BEAC,CHENGALPATTU,2,59
40652,CHENGALPATTU,CHENNAI BEAC,2,59
40653,CHENNAI BEAC,CHENGALPATTU,2,59
40654,CHENGALPATTU,CHENNAI BEAC,2,59
40655,CHENNAI BEAC,CHENGALPATTU,11,59
40656,CHENGALPATTU,CHENNAI BEAC,3,59
40657,CHENNAI BEAC,CHENGALPATTU,2,59
40658,CHENGALPATTU,CHENNAI BEAC,2,59
40659,CHENNAI BEAC,CHENGALPATTU,2,59
40660,CHENGALPATTU,CHENNAI BEAC,11,59
40661,CHENNAI BEAC,CHENGALPATTU,2,59
40662,CHENGALPATTU,CHENNAI BEAC,3,59
40663,CHENNAI BEAC,CHENGALPATTU,2,59
40664,CHENGALPATTU,CHENNAI BEAC,2,59
40665,CHENNAI BEAC,CHENGALPATTU,11,59
40666,CHENGALPATTU,CHENNAI BEAC,2,59
40701,CHENNAI BEAC,TIRUMALPUR,3,108
40702,TIRUMALPUR,CHENNAI BEAC,4,108
40704,TIRUMALPUR,CHENNAI BEAC,4,108
40705,CHENNAI BEAC,TIRUMALPUR,15,108
40706,TIRUMALPUR,CHENNAI BEAC,10,108
40707,CHENNAI BEAC,TIRUMALPUR,8,108
40708,TIRUMALPUR,CHENNAI BEAC,8,108
40709,CHENNAI BEAC,TIRUMALPUR,5,108
40711,CHENNAI BEAC,TIRUMALPUR,7,108
40712,TIRUMALPUR,CHENNAI BEAC,12,108
40751,CHENNAI BEAC,TIRUMALPUR,4,108
40752,TIRUMALPUR,CHENNAI BEAC,6,108
40754,TIRUMALPUR,CHENNAI BEAC,5,108
40755,CHENNAI BEAC,TIRUMALPUR,15,108
40756,TIRUMALPUR,CHENNAI BEAC,8,108
40757,CHENNAI BEAC,TIRUMALPUR,14,108
40758,TIRUMALPUR,CHENNAI BEAC,4,108
40759,CHENNAI BEAC,TIRUMALPUR,3,108
40761,CHENNAI BEAC,TIRUMALPUR,2,108
40762,TIRUMALPUR,CHENNAI BEAC,4,108
40801,CHENNAI BEAC,KANCHIPURAM,3,95
40802,KANCHIPURAM,CHENNAI BEAC,6,95
40803,CHENNAI BEAC,KANCHIPURAM,6,95
40804,KANCHIPURAM,CHENNAI BEAC,14,95
40901,CHENGALPATTU,TIRUMALPUR,10,48
40902,TIRUMALPUR,CHENGALPATTU,10,48
41001,CHENNAI BEAC,VELACHEERY,3,14
41003,CHENNAI BEAC,VELACHEERY,3,14
41006,VELACHEERY,CHENNAI BEAC,3,14
41008,VELACHEERY,CHENNAI BEAC,3,14
41009,CHENNAI BEAC,VELACHEERY,3,14
41012,VELACHEERY,CHENNAI BEAC,3,14
41013,CHENNAI BEAC,VELACHEERY,3,14
41014,VELACHEERY,CHENNAI BEAC,3,14
41015,CHENNAI BEAC,VELACHEERY,3,14
41016,VELACHEERY,CHENNAI BEAC,3,14
41017,CHENNAI BEAC,VELACHEERY,3,14
41020,VELACHEERY,CHENNAI BEAC,3,14
41021,CHENNAI BEAC,VELACHEERY,3,14
41022,VELACHEERY,CHENNAI BEAC,3,14
41023,CHENNAI BEAC,VELACHEERY,3,14
41024,VELACHEERY,CHENNAI BEAC,3,14
41028,VELACHEERY,CHENNAI BEAC,3,14
41029,CHENNAI BEAC,VELACHEERY,3,14
41033,CHENNAI BEAC,VELACHEERY,3,14
41035,CHENNAI BEAC,VELACHEERY,3,14
41036,VELACHEERY,CHENNAI BEAC,3,14
41038,VELACHEERY,CHENNAI BEAC,3,14
41040,VELACHEERY,CHENNAI BEAC,3,14
41042,VELACHEERY,CHENNAI BEAC,3,14
41043,CHENNAI BEAC,VELACHEERY,3,14
41046,VELACHEERY,CHENNAI BEAC,3,14
41048,VELACHEERY,CHENNAI BEAC,3,14
41050,VELACHEERY,CHENNAI BEAC,3,14
41051,CHENNAI BEAC,VELACHEERY,3,14
41055,CHENNAI BEAC,VELACHEERY,3,14
41056,VELACHEERY,CHENNAI BEAC,3,14
41057,CHENNAI BEAC,VELACHEERY,3,14
41060,VELACHEERY,CHENNAI BEAC,3,14
41061,CHENNAI BEAC,VELACHEERY,3,14
41063,CHENNAI BEAC,VELACHEERY,3,14
41064,VELACHEERY,CHENNAI BEAC,3,14
41065,CHENNAI BEAC,VELACHEERY,3,14
41069,CHENNAI BEAC,VELACHEERY,3,14
41070,VELACHEERY,CHENNAI BEAC,3,14
41073,CHENNAI BEAC,VELACHEERY,3,14
41076,VELACHEERY,CHENNAI BEAC,3,14
41077,CHENNAI BEAC,VELACHEERY,3,14
41078,VELACHEERY,CHENNAI BEAC,3,14
41079,CHENNAI BEAC,VELACHEERY,3,14
41080,VELACHEERY,CHENNAI BEAC,3,14
41081,CHENNAI BEAC,VELACHEERY,3,14
41082,VELACHEERY,CHENNAI BEAC,3,14
41084,VELACHEERY,CHENNAI BEAC,3,14
41085,CHENNAI BEAC,VELACHEERY,3,14
41086,VELACHEERY,CHENNAI BEAC,2,14
41089,CHENNAI BEAC,VELACHEERY,3,14
41091,CHENNAI BEAC,VELACHEERY,3,14
41092,VELACHEERY,CHENNAI BEAC,3,14
41093,CHENNAI BEAC,VELACHEERY,3,14
41095,CHENNAI BEAC,VELACHEERY,3,14
41096,VELACHEERY,CHENNAI BEAC,3,14
41097,CHENNAI BEAC,VELACHEERY,3,14
41102,VELACHEERY,CHENNAI BEAC,3,14
41103,CHENNAI BEAC,VELACHEERY,3,14
41104,VELACHEERY,CHENNAI BEAC,3,14
41105,CHENNAI BEAC,VELACHEERY,3,14
41108,VELACHEERY,CHENNAI BEAC,3,14
41110,VELACHEERY,CHENNAI BEAC,3,14
41111,CHENNAI BEAC,VELACHEERY,3,14
41113,CHENNAI BEAC,VELACHEERY,3,14
41116,VELACHEERY,CHENNAI BEAC,3,14
41117,CHENNAI BEAC,VELACHEERY,3,14
41119,CHENNAI BEAC,VELACHEERY,3,14
41120,VELACHEERY,CHENNAI BEAC,3,14
41122,VELACHEERY,CHENNAI BEAC,3,14
41127,CHENNAI BEAC,VELACHEERY,3,14
41128,VELACHEERY,CHENNAI BEAC,3,14
41129,CHENNAI BEAC,VELACHEERY,3,14
41130,VELACHEERY,CHENNAI BEAC,3,14
41131,CHENNAI BEAC,VELACHEERY,3,14
41132,VELACHEERY,CHENNAI BEAC,3,14
41134,VELACHEERY,CHENNAI BEAC,3,14
41135,CHENNAI BEAC,VELACHEERY,3,14
41138,VELACHEERY,CHENNAI BEAC,3,14
41140,VELACHEERY,CHENNAI BEAC,3,14
41501,CHENNAI BEAC,VELACHEERY,3,14
41502,VELACHEERY,CHENNAI BEAC,3,14
41503,CHENNAI BEAC,VELACHEERY,3,14
41504,VELACHEERY,CHENNAI BEAC,3,14
41505,CHENNAI BEAC,VELACHEERY,3,14
41506,VELACHEERY,CHENNAI BEAC,3,14
41507,CHENNAI BEAC,VELACHEERY,3,14
41508,VELACHEERY,CHENNAI BEAC,3,14
41509,CHENNAI BEAC,VELACHEERY,3,14
41510,VELACHEERY,CHENNAI BEAC,3,14
41511,CHENNAI BEAC,VELACHEERY,2,14
41512,VELACHEERY,CHENNAI BEAC,3,14
41513,CHENNAI BEAC,VELACHEERY,3,14
41514,VELACHEERY,CHENNAI BEAC,3,14
41515,CHENNAI BEAC,VELACHEERY,3,14
41516,VELACHEERY,CHENNAI BEAC,3,14
41517,CHENNAI BEAC,VELACHEERY,3,14
41518,VELACHEERY,CHENNAI BEAC,3,14
41519,CHENNAI BEAC,VELACHEERY,3,14
41520,VELACHEERY,CHENNAI BEAC,3,14
41521,CHENNAI BEAC,VELACHEERY,3,14
41522,VELACHEERY,CHENNAI BEAC,3,14
41523,CHENNAI BEAC,VELACHEERY,3,14
41524,VELACHEERY,CHENNAI BEAC,3,14
41525,CHENNAI BEAC,VELACHEERY,3,14
41526,VELACHEERY,CHENNAI BEAC,3,14
41527,CHENNAI BEAC,VELACHEERY,3,14
41528,VELACHEERY,CHENNAI BEAC,3,14
41529,CHENNAI BEAC,VELACHEERY,3,14
41530,VELACHEERY,CHENNAI BEAC,3,14
41531,CHENNAI BEAC,VELACHEERY,2,14
41532,VELACHEERY,CHENNAI BEAC,3,14
41533,CHENNAI BEAC,VELACHEERY,3,14
41534,VELACHEERY,CHENNAI BEAC,3,14
41535,CHENNAI BEAC,VELACHEERY,3,14
41536,VELACHEERY,CHENNAI BEAC,3,14
41537,CHENNAI BEAC,VELACHEERY,3,14
41538,VELACHEERY,CHENNAI BEAC,3,14
41539,CHENNAI BEAC,VELACHEERY,3,14
41540,VELACHEERY,CHENNAI BEAC,3,14
41541,CHENNAI BEAC,VELACHEERY,3,14
41542,VELACHEERY,CHENNAI BEAC,3,14
41543,CHENNAI BEAC,VELACHEERY,3,14
41544,VELACHEERY,CHENNAI BEAC,3,14
41545,CHENNAI BEAC,VELACHEERY,3,14
41546,VELACHEERY,CHENNAI BEAC,3,14
41547,CHENNAI BEAC,VELACHEERY,3,14
41548,VELACHEERY,CHENNAI BEAC,3,14
41549,CHENNAI BEAC,VELACHEERY,3,14
41550,VELACHEERY,CHENNAI BEAC,3,14
41551,CHENNAI BEAC,VELACHEERY,3,14
41552,VELACHEERY,CHENNAI BEAC,3,14
41553,CHENNAI BEAC,VELACHEERY,3,14
41554,VELACHEERY,CHENNAI BEAC,3,14
41555,CHENNAI BEAC,VELACHEERY,3,14
41556,VELACHEERY,CHENNAI BEAC,3,14
41557,CHENNAI BEAC,VELACHEERY,3,14
41558,VELACHEERY,CHENNAI BEAC,3,14
41559,CHENNAI BEAC,VELACHEERY,3,14
41560,VELACHEERY,CHENNAI BEAC,3,14
41561,CHENNAI BEAC,VELACHEERY,3,14
41562,VELACHEERY,CHENNAI BEAC,3,14
41563,CHENNAI BEAC,VELACHEERY,3,14
41564,VELACHEERY,CHENNAI BEAC,3,14
41565,CHENNAI BEAC,VELACHEERY,3,14
41566,VELACHEERY,CHENNAI BEAC,3,14
41567,CHENNAI BEAC,VELACHEERY,3,14
41568,VELACHEERY,CHENNAI BEAC,3,14
41569,CHENNAI BEAC,VELACHEERY,3,14
41570,VELACHEERY,CHENNAI BEAC,3,14
41571,CHENNAI BEAC,VELACHEERY,3,14
41572,VELACHEERY,CHENNAI BEAC,3,14
41573,CHENNAI BEAC,VELACHEERY,3,14
41574,VELACHEERY,CHENNAI BEAC,3,14
41575,CHENNAI BEAC,VELACHEERY,3,14
41576,VELACHEERY,CHENNAI BEAC,3,14
41577,CHENNAI BEAC,VELACHEERY,3,14
41578,VELACHEERY,CHENNAI BEAC,3,14
41579,CHENNAI BEAC,VELACHEERY,3,14
41580,VELACHEERY,CHENNAI BEAC,3,14
41581,CHENNAI BEAC,VELACHEERY,3,14
41582,VELACHEERY,CHENNAI BEAC,3,14
41583,CHENNAI BEAC,VELACHEERY,3,14
41584,VELACHEERY,CHENNAI BEAC,3,14
41585,CHENNAI BEAC,VELACHEERY,3,14
41586,VELACHEERY,CHENNAI BEAC,3,14
41587,CHENNAI BEAC,VELACHEERY,3,14
41588,VELACHEERY,CHENNAI BEAC,3,14
41589,CHENNAI BEAC,VELACHEERY,3,14
41590,VELACHEERY,CHENNAI BEAC,3,14
41593,CHENNAI BEAC,VELACHEERY,3,14
41594,VELACHEERY,CHENNAI BEAC,3,14
41597,CHENNAI BEAC,VELACHEERY,3,14
41598,VELACHEERY,CHENNAI BEAC,3,14
41599,CHENNAI BEAC,VELACHEERY,3,14
41600,VELACHEERY,CHENNAI BEAC,3,14
42001,MOOR MARKET,GUMMIDIPUNDI,16,47
42002,GUMMIDIPUNDI,MOOR MARKET,15,47
42003,MOOR MARKET,GUMMIDIPUNDI,16,47
42004,GUMMIDIPUNDI,MOOR MARKET,16,47
42005,MOOR MARKET,GUMMIDIPUNDI,16,47
42006,GUMMIDIPUNDI,MOOR MARKET,16,47
42007,MOOR MARKET,GUMMIDIPUNDI,12,47
42008,GUMMIDIPUNDI,MOOR MARKET,16,47
42009,MOOR MARKET,GUMMIDIPUNDI,16,47
42010,GUMMIDIPUNDI,MOOR MARKET,16,47
42011,MOOR MARKET,GUMMIDIPUNDI,16,47
42012,GUMMIDIPUNDI,MOOR MARKET,15,47
42013,MOOR MARKET,GUMMIDIPUNDI,16,47
42014,GUMMIDIPUNDI,MOOR MARKET,16,47
42015,MOOR MARKET,GUMMIDIPUNDI,16,47
42016,GUMMIDIPUNDI,MOOR MARKET,16,47
42017,MOOR MARKET,GUMMIDIPUNDI,16,47
42018,GUMMIDIPUNDI,MOOR MARKET,16,47
42019,MOOR MARKET,GUMMIDIPUNDI,16,47
42020,GUMMIDIPUNDI,MOOR MARKET,16,47
42021,MOOR MARKET,GUMMIDIPUNDI,16,47
42022,GUMMIDIPUNDI,MOOR MARKET,16,47
42023,MOOR MARKET,GUMMIDIPUNDI,16,47
42024,GUMMIDIPUNDI,MOOR MARKET,12,47
42025,MOOR MARKET,GUMMIDIPUNDI,16,47
42026,GUMMIDIPUNDI,MOOR MARKET,12,47
42027,MOOR MARKET,GUMMIDIPUNDI,16,47
42028,GUMMIDIPUNDI,MOOR MARKET,16,47
42029,MOOR MARKET,GUMMIDIPUNDI,16,47
42030,GUMMIDIPUNDI,MOOR MARKET,12,47
42031,MOOR MARKET,GUMMIDIPUNDI,16,47
42032,GUMMIDIPUNDI,MOOR MARKET,16,47
42033,MOOR MARKET,GUMMIDIPUNDI,16,47
42034,GUMMIDIPUNDI,MOOR MARKET,16,47
42035,MOOR MARKET,GUMMIDIPUNDI,16,47
42036,GUMMIDIPUNDI,MOOR MARKET,16,47
42037,MOOR MARKET,GUMMIDIPUNDI,16,47
42038,GUMMIDIPUNDI,MOOR MARKET,16,47
42039,MOOR MARKET,GUMMIDIPUNDI,16,47
42040,GUMMIDIPUNDI,MOOR MARKET,16,47
42041,MOOR MARKET,GUMMIDIPUNDI,16,47
42042,GUMMIDIPUNDI,MOOR MARKET,16,47
42043,MOOR MARKET,GUMMIDIPUNDI,16,47
42044,GUMMIDIPUNDI,MOOR MARKET,16,47
42045,MOOR MARKET,GUMMIDIPUNDI,16,47
42046,GUMMIDIPUNDI,MOOR MARKET,16,47
42301,MOOR MARKET,PONNERI,14,34
42302,PONNERI,MOOR MARKET,14,34
42401,MOOR MARKET,SULLURUPETTA,21,82
42402,SULLURUPETTA,MOOR MARKET,21,82
42403,MOOR MARKET,SULLURUPETTA,21,82
42404,SULLURUPETTA,MOOR MARKET,16,82
42406,SULLURUPETTA,MOOR MARKET,21,82
42407,MOOR MARKET,SULLURUPETTA,21,82
42408,SULLURUPETTA,MOOR MARKET,21,82
42409,MOOR MARKET,SULLURUPETTA,21,82
42411,MOOR MARKET,SULLURUPETTA,21,82
42412,SULLURUPETTA,MOOR MARKET,21,82
42413,MOOR MARKET,SULLURUPETTA,21,82
42414,SULLURUPETTA,MOOR MARKET,21,82
42416,SULLURUPETTA,MOOR MARKET,21,82
42417,MOOR MARKET,SULLURUPETTA,21,82
42419,MOOR MARKET,SULLURUPETTA,21,82
42420,SULLURUPETTA,MOOR MARKET,21,82
42421,MOOR MARKET,SULLURUPETTA,20,82
42422,SULLURUPETTA,MOOR MARKET,21,82
42423,MOOR MARKET,SULLURUPETTA,21,82
42451,GUMMIDIPUNDI,SULLURUPETTA,2,35
42452,SULLURUPETTA,GUMMIDIPUNDI,6,35
42601,CHENNAI BEAC,GUMMIDIPUNDI,17,47
42602,GUMMIDIPUNDI,CHENNAI BEAC,17,47
42603,CHENNAI BEAC,GUMMIDIPUNDI,17,47
42604,GUMMIDIPUNDI,CHENNAI BEAC,17,47
42605,CHENNAI BEAC,GUMMIDIPUNDI,17,47
42606,GUMMIDIPUNDI,CHENNAI BEAC,17,47
42607,CHENNAI BEAC,GUMMIDIPUNDI,17,47
42608,GUMMIDIPUNDI,CHENNAI BEAC,17,47
42651,VELACHEERY,GUMMIDIPUNDI,15,62
42652,GUMMIDIPUNDI,VELACHEERY,15,62
42653,VELACHEERY,GUMMIDIPUNDI,15,62
42654,GUMMIDIPUNDI,VELACHEERY,15,62
42655,VELACHEERY,GUMMIDIPUNDI,15,62
42656,GUMMIDIPUNDI,VELACHEERY,15,62
42657,VELACHEERY,GUMMIDIPUNDI,15,62
42701,CHENNAI BEAC,PONNERI,11,35
42702,PONNERI,CHENNAI BEAC,15,34
42751,VELACHEERY,PONNERI,13,50
42752,PONNERI,VELACHEERY,13,49
42801,CHENNAI BEAC,SULLURUPETTA,22,82
42802,SULLURUPETTA,CHENNAI BEAC,22,82
42804,SULLURUPETTA,CHENNAI BEAC,22,82
42851,VELACHEERY,SULLURUPETTA,19,97
42852,SULLURUPETTA,VELACHEERY,19,97
42854,SULLURUPETTA,VELACHEERY,19,97
42901,MOOR MARKET,ENNORE,8,16
43001,MOOR MARKET,AVADI,11,20
43002,AVADI,MOOR MARKET,11,21
43003,MOOR MARKET,AVADI,11,20
43005,MOOR MARKET,AVADI,11,20
43006,AVADI,MOOR MARKET,11,21
43007,MOOR MARKET,AVADI,11,20
43008,AVADI,MOOR MARKET,11,21
43009,MOOR MARKET,AVADI,11,20
43011,MOOR MARKET,AVADI,11,20
43013,MOOR MARKET,AVADI,11,20
43014,AVADI,MOOR MARKET,11,21
43015,MOOR MARKET,AVADI,11,20
43016,AVADI,MOOR MARKET,11,21
43017,MOOR MARKET,AVADI,11,20
43018,AVADI,MOOR MARKET,11,21
43019,MOOR MARKET,AVADI,11,20
43020,AVADI,MOOR MARKET,11,21
43021,MOOR MARKET,AVADI,7,20
43022,AVADI,MOOR MARKET,11,21
43023,MOOR MARKET,AVADI,11,20
43025,MOOR MARKET,AVADI,7,20
43029,MOOR MARKET,AVADI,7,20
43101,MOOR MARKET,PATTABIRAM E,14,30
43102,PATTABIRAM E,MOOR MARKET,14,31
43103,MOOR MARKET,PATTABIRAM E,14,30
43104,PATTABIRAM E,MOOR MARKET,14,31
43105,MOOR MARKET,PATTABIRAM E,14,30
43106,PATTABIRAM E,MOOR MARKET,14,31
43107,MOOR MARKET,PATTABIRAM E,14,30
43108,PATTABIRAM E,MOOR MARKET,14,31
43109,MOOR MARKET,PATTABIRAM E,14,30
43110,PATTABIRAM E,MOOR MARKET,14,31
43111,MOOR MARKET,PATTABIRAM E,14,30
43112,PATTABIRAM E,MOOR MARKET,14,31
43113,MOOR MARKET,PATTABIRAM E,14,30
43114,PATTABIRAM E,MOOR MARKET,14,31
43115,MOOR MARKET,PATTABIRAM E,14,30
43116,PATTABIRAM E,MOOR MARKET,14,31
43117,MOOR MARKET,PATTABIRAM E,14,30
43118,PATTABIRAM E,MOOR MARKET,14,31
43119,MOOR MARKET,PATTABIRAM E,14,30
43120,PATTABIRAM E,MOOR MARKET,14,31
43121,MOOR MARKET,PATTABIRAM E,14,30
43122,PATTABIRAM E,MOOR MARKET,14,31
43123,MOOR MARKET,PATTABIRAM E,9,25
43124,PATTABIRAM E,MOOR MARKET,14,31
43125,MOOR MARKET,PATTABIRAM E,8,25
43126,PATTABIRAM E,MOOR MARKET,14,31
43127,MOOR MARKET,PATTABIRAM E,8,25
43128,PATTABIRAM E,MOOR MARKET,14,31
43130,PATTABIRAM E,MOOR MARKET,14,31
43132,PATTABIRAM E,MOOR MARKET,14,31
43201,MOOR MARKET,TIRUVALLUR,18,46
43202,TIRUVALLUR,MOOR MARKET,19,46
43203,MOOR MARKET,TIRUVALLUR,19,46
43204,TIRUVALLUR,MOOR MARKET,19,46
43205,MOOR MARKET,TIRUVALLUR,19,46
43206,TIRUVALLUR,MOOR MARKET,19,46
